"","FreshMass","DryMass","WaterContent","LeafArea","Perimeter","AspectRatio","Circularity","Solidity","LMA","LaminaThickness","LaminaDensity","LaminaToughness","ChlorophyllContent._SPAD","ChlorophyllContent_areabasis","ChlorophyllContent_massbasis","TrichomeDensity","AshContent","TotalPhenolics","TotalFlavonoids"
"PPN_001",1.03,0.17,5.2,38.2,30.93,1.48,0.5,0.87,44.42,0.36,0.13,25.33,44.1,539.89,12.25,310.67,12.9,1.26,2.38
"PPN_002",2.02,0.3,5.76,63.38,43.42,1.24,0.43,0.87,47.32,0.37,0.13,27,42.13,495.55,10.51,224,6.5,1.15,1.55
"PPN_003",2.58,0.5,4.17,75.07,50.67,1.4,0.38,0.83,66.61,0.41,0.17,35.1,38.23,426.74,6.46,521.33,6.03,2.03,1.77
"PPN_004",1.98,0.32,5.22,61.74,44.11,1.34,0.4,0.85,52.3,0.49,0.11,32.67,43.3,523.37,9.98,386.67,9.7,2.69,2.02
"PPN_005",1.37,0.2,5.89,45.48,34.41,1.31,0.48,0.87,43.48,0.4,0.11,24.1,41.1,475.61,10.96,381.33,15.1322530651305,1.88,1.44
"PPN_006",1.6,0.29,4.65,55.23,35.03,1.29,0.56,0.9,51.54,0.38,0.13,26.23,40.37,469.86,9.75,236,5.8,1.25,1.92
"PPN_007",1.25,0.22,4.84,43.59,35.07,1.39,0.44,0.86,49.57,0.38,0.13,27.67,47.33,606.79,12.19,306.67,7.19632293704464,1.05,2.05
"PPN_008",1.89,0.3,5.35,56.22,40.66,1.25,0.42,0.86,52.39,0.45,0.12,31.23,47.47,604.83,11.55,450.67,10.4,1.05,1.31
"PPN_009",1.57,0.27,4.94,45.71,38.93,1.49,0.38,0.82,58.57,0.5,0.12,26.23,44.97,552.76,9.61,276,12.35,1.39,1.97
"PPN_010",1.07,0.17,5.2,35.9,30.87,1.37,0.47,0.88,48.2,0.55,0.1,30.03,39.17,442.74,9.19,238.67,11.9610909400932,1.55,1.77
"PPN_011",1.79,0.29,5.37,57.15,44.02,1.38,0.37,0.82,49.83,0.43,0.12,31.23,37.3,409.28,8.26,542.67,8.77,1.7,1.85
"PPN_012",0.9,0.15,4.94,36.58,30.27,1.34,0.5,0.88,41.75,0.34,0.12,25.2,37.13,413.41,10.26,453.33,9.25114520469896,1.39,2.1
"PPN_013",1.68,0.29,5.03,49.78,38.52,1.49,0.42,0.84,56.56,0.39,0.15,32,37.33,410.12,7.31,298.67,9.55,1.41,1.52
"PPN_014",1.29,0.23,4.47,41.88,32.95,1.64,0.47,0.88,54.66,0.3,0.18,27.57,42.6,509.93,9.44,445.33,5.5,1.65,2.1
"PPN_015",1.41,0.22,5.35,42.61,32.94,1.43,0.49,0.87,51.6,0.45,0.11,32.7,38.77,437.97,8.44,226.67,11.3,1.62,2.17
"PPN_016",1.73,0.24,6.11,55.36,39.73,1.44,0.44,0.85,44.02,0.39,0.11,26.77,40.83,472.27,10.71,462.67,11.77,0.99,1.87
"PPN_017",2.05,0.31,5.52,64.35,45.94,1.51,0.37,0.86,48.69,0.41,0.12,33.33,42.03,498.71,10.39,373.33,8.15,1.39,1.82
"PPN_018",1.95,0.32,5.19,60.17,42.51,1.63,0.42,0.86,53.33,0.48,0.11,28.23,44.5,542.37,10.52,341.33,9.4,1.07,1.46
"PPN_019",1.35,0.26,4.31,47.48,37.42,1.35,0.43,0.84,55.14,0.5,0.11,27.1,42.2,497.25,9.03,166.67,5.28283906768676,1.48,1.75
"PPN_020",1.49,0.23,5.55,50.12,34.66,1.42,0.53,0.87,45.24,0.49,0.09,27.2,46.57,585.2,12.97,204,1.7,1.11,1.59
"PPN_021",1.61,0.23,6.1,50.03,33.25,1.25,0.57,0.9,45.38,0.48,0.1,29.1,43.87,545.84,11.93,412,8.9,1.18,1.59
"PPN_022",1.8,0.31,5.14,53.08,38.51,1.43,0.46,0.87,55.66,0.46,0.13,31,46.6,591.09,10.92,628,9.47,1.4,1.54
"PPN_023",1.65,0.31,4.29,50.94,38.81,1.5,0.42,0.87,61.54,0.51,0.12,33,47.45,604.63,9.94,540,5.25,1.24,1.76
"PPN_024",1.92,0.33,4.84,51.99,48.57,1.43,0.28,0.76,64.86,0.45,0.15,35.23,45.9,577.5,9.2,577.33,7.65,2.51,2.42
"PPN_025",1.76,0.26,5.63,55.05,41.82,1.46,0.4,0.83,47.88,0.53,0.1,29.47,44.9,555.05,11.66,457.33,12.8,1.83,2.14
"PPN_026",1.16,0.18,5.55,36.95,30.41,1.45,0.5,0.88,47.79,0.52,0.09,36.8,46.67,587.5,12.36,381.33,11.4033794495104,0.97,1.75
"PPN_027",1.87,0.32,4.91,65.33,40.59,1.36,0.5,0.9,48.89,0.34,0.14,25.37,45.2,556.47,11.56,346.67,9.7,1.89,1.81
"PPN_028",2.53,0.43,4.9,75.93,49.54,1.24,0.4,0.87,56.74,0.44,0.13,35.9,35.33,377.42,6.86,382.67,7.63,1.08,1.65
"PPN_029",0.92,0.16,4.68,34.39,27.9,1.53,0.55,0.91,46.56,0.42,0.11,25.23,43.67,526.87,11.29,440,8.80385153173078,1.66,2.04
"PPN_030",1.84,0.33,4.69,59.95,38.86,1.36,0.5,0.92,54.52,0.47,0.12,29.8,42.13,496.18,9.47,309.33,9.6,1.41,1.77
"PPN_031",1.66,0.27,5.02,51.81,39.49,1.49,0.42,0.8,52.72,0.44,0.12,24.23,48.17,623.74,11.84,434,7.8,1.23,1.47
"PPN_032",1.64,0.27,5.09,50.87,39.27,1.26,0.42,0.85,52.84,0.39,0.14,31.57,47.57,615.38,11.65,470.67,12.5,1.15,1.67
"PPN_033",2.37,0.34,6.05,70.89,44.85,1.25,0.44,0.84,47.86,0.4,0.12,36,40.9,472.18,9.93,649.33,10.17,0.96,1.17
"PPN_034",1.31,0.21,5.15,39.71,35.64,1.65,0.39,0.79,53.85,0.36,0.15,30.8,44.97,553.78,10.27,237.33,9.8,2.61,3.01
"PPN_035",1.9,0.29,5.5,57.25,39.46,1.38,0.46,0.86,51.71,0.49,0.11,33.57,43.33,524.49,10.33,456,10.93,1.2,1.59
"PPN_036",1.43,0.26,4.41,48.16,35.87,1.17,0.48,0.84,54.77,0.42,0.13,29.63,46.63,588.3,10.8,381.33,8.1,2.2,2.07
"PPN_037",1.53,0.27,4.76,57.51,38.15,1.34,0.49,0.88,55.65,0.49,0.11,38.43,36.35,393.6,5.32,404,11.05,1.18,2.12
"PPN_038",1.57,0.24,5.99,46.11,37.74,1.39,0.41,0.78,49.18,0.53,0.09,25.65,45.25,560.2,12.41,228,7.4,1.1,1.87
"PPN_039",2.07,0.32,5.45,65.1,45.6,1.27,0.4,0.88,50.66,0.42,0.12,25.1,36.73,397.63,8.3,545.33,11.03,1.15,1.24
"PPN_040",1.73,0.27,5.51,55.51,38.67,1.3,0.47,0.89,48.44,0.42,0.11,32.53,35.93,385.99,8.34,417.33,8.73,0.86,0.77
"PPN_041",1.92,0.33,4.82,58.3,43.17,1.32,0.4,0.83,56.69,0.4,0.14,29.23,35.4,374.44,6.61,658.67,9.6,0.63,0.63
"PPN_042",1.4,0.19,6.4,46.94,37.1,1.43,0.43,0.86,41,0.41,0.1,29.8,37.43,409.54,10.06,464,13.15,0.5,0.71
"PPN_043",1.67,0.33,4.05,58.01,38.08,1.27,0.5,0.91,57.4,0.48,0.12,28,35.67,378.97,6.6,678,8.45,0.98,0.64
"PPN_044",2.03,0.32,5.29,72.78,44.58,1.17,0.44,0.83,47.76,0.38,0.13,26.43,34.27,355.79,7.99,648,14.15,0.88,0.91
"PPN_045",1.54,0.35,3.47,49.46,43.66,1.62,0.34,0.79,69.75,0.46,0.16,29.77,39.33,443.45,6.45,354.67,6.43,1.34,0.89
"PPN_046",1.5,0.29,4.11,56.66,39.83,1.38,0.45,0.87,52.26,0.36,0.14,29.77,36.63,395.22,7.73,569.33,8.55,0.72,0.85
"PPN_047",1.62,0.32,4.27,52.26,40.08,1.37,0.42,0.84,60.12,0.41,0.15,27.9,38.57,431.11,7.55,350.67,7.45,0.76,0.78
"PPN_048",2.06,0.38,4.4,56.86,48.63,1.58,0.3,0.83,67.32,0.47,0.14,40.2,37.8,415.37,6.22,560,10.03,1.01,1.19
"PPN_049",2.77,0.4,5.76,73.46,44.81,1.38,0.45,0.84,58.09,0.42,0.14,27.3,40.63,468.77,8.69,418.67,12.93,1.28,0.83
"PPN_050",1.64,0.28,4.97,56.76,43.8,1.32,0.37,0.83,49.59,0.35,0.14,26.87,37.83,416.38,8.63,444,9.05,0.78,0.75
"PPN_051",1.52,0.31,4.82,49.88,35.9,1.54,0.49,0.83,54.08,0.38,0.14,25.77,36.7,405.42,8.43,301.33,6.83,0.62,0.55
"PPN_052",0.9,0.15,5.09,34.64,29.54,1.61,0.52,0.87,42.89,0.46,0.09,22.9,42.8,508.29,12.14,441.33,23.6,0.47,0.81
"PPN_053",1.17,0.2,5.13,41.85,34.24,1.54,0.46,0.86,46.46,0.32,0.15,25.23,42.67,507.86,11.49,474.67,8.15,0.59,0.62
"PPN_054",1.22,0.2,5.22,44.41,37.52,1.54,0.39,0.8,44.38,0.42,0.11,26.7,40.97,473.19,10.78,437.33,11.23,1.17,1.56
"PPN_055",1.57,0.34,3.55,58.99,45.71,1.36,0.36,0.79,58.15,0.38,0.15,29.47,36.63,395.19,6.86,608,9.2,0.79,0.8
"PPN_056",1.84,0.25,6.25,61.36,44.9,1.19,0.37,0.83,42.14,0.38,0.11,22.9,32.5,328.86,8.12,484,10.43,1.11,0.69
"PPN_057",1.58,0.28,4.58,45.82,52.55,1.6,0.22,0.75,61.61,0.46,0.14,30.37,38.7,431.7,7.02,580,9.37,0.77,0.98
"PPN_058",1.94,0.25,6.44,61.47,42.57,1.32,0.41,0.84,43.8,0.4,0.12,25.23,35.67,380.25,9.15,297.33,12.05,0.77,0.85
"PPN_059",1.54,0.25,5.14,52.36,42.65,1.38,0.35,0.74,48.14,0.45,0.11,22.33,42.37,502.67,10.61,528,13.4,0.84,0.98
"PPN_060",0.99,0.13,6.65,32.37,27.55,1.49,0.54,0.91,39.98,0.38,0.11,21.1,55.3,787.68,19.79,702.67,15.7,0.66,1.02
"PPN_061",2.06,0.36,5.06,60.93,41.62,1.15,0.45,0.85,58.18,0.46,0.13,29.77,41.23,478.06,8.71,546.67,7.2,0.72,0.94
"PPN_062",1.6,0.35,3.58,45.43,43.48,1.41,0.31,0.77,76.82,0.49,0.16,32,33.75,347.48,4.53,496,6.7,0.53,0.6
"PPN_063",1.46,0.27,4.51,51.2,37.55,1.37,0.46,0.87,52.86,0.38,0.14,26.1,41.33,483.01,9.66,410.67,9.15,0.85,0.85
"PPN_064",1.84,0.37,4.02,51.02,41.75,1.35,0.37,0.81,72.36,0.48,0.15,30.7,39.2,441.09,6.21,404,9,1.21,1.26
"PPN_065",1.62,0.24,5.66,54.76,40.96,1.27,0.41,0.84,45.16,0.41,0.11,27.33,39.6,449.76,10.12,433.33,14.6,0.68,0.75
"PPN_066",1.55,0.28,4.64,48.69,41,1.37,0.39,0.84,56.36,0.42,0.13,33.43,35.53,378.14,6.93,581.33,8.4,0.76,0.92
"PPN_067",1.34,0.17,6.93,41,42.81,1.67,0.29,0.75,41.41,0.42,0.1,21.33,41.77,490.17,11.87,506.67,11.6,0.72,1
"PPN_068",1.78,0.28,5.27,59.28,42.18,1.51,0.42,0.83,48.12,0.38,0.13,22.33,42.87,516.26,10.96,313.33,11.1,0.78,0.94
"PPN_069",1.3,0.25,4.35,47.09,34.55,1.45,0.5,0.85,52.78,0.42,0.13,28,39.67,449.73,8.65,550.67,6.58664594103435,0.77,0.87
"PPN_070",1.44,0.23,5.58,46.7,36.52,1.58,0.44,0.84,49.11,0.38,0.13,29.23,34.23,355.5,7.61,509.33,16.1,0.94,0.83
"PPN_071",2.15,0.42,4.15,69.33,45.87,1.36,0.4,0.81,58.96,0.5,0.12,31.13,33.63,348.3,5.99,384,7.1,0.66,0.72
"PPN_072",1.85,0.39,3.92,61.06,40.39,1.24,0.48,0.86,63.19,0.34,0.18,25.23,39.07,439.28,7.14,462.67,6.43,0.78,0.74
"PPN_073",1.73,0.27,5.57,53.98,41.71,1.33,0.39,0.82,48.73,0.48,0.1,29.77,35.7,379.41,7.96,698.67,9.3,1.12,1.03
"PPN_074",1.34,0.24,4.51,50.82,38.37,1.27,0.42,0.81,49.44,0.39,0.13,26.33,39.93,455.57,9.73,508,8.2,1.21,0.92
"PPN_075",4.4,0.66,4.97,121.34,56.43,1.2,0.43,0.86,68.06,0.45,0.15,24.33,40.57,465.83,7.87,397.33,11.9,1.66,0.7
"PPN_076",1.53,0.3,4.04,53.93,40.95,1.32,0.4,0.83,55.7,0.41,0.14,29,31.63,314.58,5.67,642.67,9.3,0.86,0.64
"PPN_077",2.5,0.32,7.48,69.49,50.86,1.29,0.37,0.78,45.43,0.31,0.15,27.57,43.87,529.93,12.99,356,12.1,1.14,1.69
"PPN_078",1.43,0.18,7.45,50.46,31.42,1.42,0.61,0.93,33.54,0.38,0.09,21.43,37.2,405.41,12.18,485.33,16.1,0.95,1.83
"PPN_079",2.35,0.36,5.6,75.4,44.95,1.49,0.47,0.86,47.32,0.36,0.14,34.2,45.07,554.07,11.78,373.33,10.8,1.38,2.02
"PPN_080",1.84,0.23,7.32,61.47,39.38,1.48,0.5,0.85,36.67,0.41,0.09,24.33,46.67,587.33,16.27,450.67,15.03,0.98,1.41
"PPN_081",2.09,0.26,7.16,66,43.7,1.43,0.44,0.84,38.69,0.38,0.1,25.1,42.4,500.97,12.95,390.67,13.87,1.31,1.88
"PPN_082",1.43,0.16,7.72,60.33,37.09,1.33,0.56,0.89,28.37,0.47,0.06,21.87,39.73,450.4,16.57,358.67,16.1,0.78,1.39
"PPN_083",3.03,0.47,5.47,88.32,50.47,1.62,0.44,0.86,53.04,0.5,0.11,37.57,50.13,666.9,12.66,653.33,10.73,1.33,1.76
"PPN_084",1.49,0.18,7.5,49.86,35.96,1.64,0.48,0.88,35.05,0.52,0.07,23.33,42.47,503.14,14.4,458.67,15.97,1.06,1.61
"PPN_085",1.68,0.22,7.72,57.66,34.21,1.39,0.58,0.89,34.26,0.35,0.11,24,36.5,394.75,11.66,200,15.45,1.16,1.66
"PPN_086",2.23,0.27,7.27,70.87,41.74,1.39,0.51,0.86,37.87,0.41,0.1,29.9,43.73,528.01,14.03,392,14.4,1.16,1.57
"PPN_087",2.6,0.36,6.4,84.4,45.2,1.55,0.52,0.9,41.8,0.41,0.1,27.67,45.4,560.98,13.67,481.33,11.4,1.06,1.43
