"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"USE*1","1","NonOil",1,83,1,0,1,1,0,1,1,0,NA,NA,0
"USE*2","2","Oil",1,134,2,0,2,2,0,2,2,0,NA,NA,0
"USE*3","3","UNK",1,69,3,0,3,3,0,3,3,0,NA,NA,0
"PEAKAREAS_PC21","4","NonOil",2,83,-0.055203227533838,3.11219862977516,-0.307756313150835,-0.122084418923241,2.68188936012456,-7.70224558680884,8.37125143281906,16.0734970196279,0.201176534105207,0.145511715866568,0.341608179538199
"PEAKAREAS_PC22","5","Oil",2,134,-0.066017775380118,2.93243056196665,0.045955343757383,0.040542241170603,2.65639217224873,-7.2275808121152,6.47194784784727,13.6995286599625,-0.284326692586154,-0.229300000739465,0.253323417269279
"PEAKAREAS_PC23","6","UNK",2,69,0.194612315742671,2.33333715562978,0.315566941081667,0.203373190249252,2.18461835113338,-6.25215984045517,7.19608591043976,13.4482457508949,0.036982895236577,0.39103401256804,0.280900784017214
"PEAKAREAS_PC31","7","NonOil",3,83,0.132688965558654,2.99636127781424,-0.695228519387255,-0.319140431465494,1.7587304750087,-3.61792066940797,12.4167163890276,16.0346370584355,1.74270185653376,3.52615450371067,0.328893378321043
"PEAKAREAS_PC32","8","Oil",3,134,-0.122994002587428,2.09156245227512,-0.509768155828604,-0.239978926293779,2.12086234237955,-6.39824072069271,6.8374087363967,13.2356494570894,0.438545169128348,0.321900989225755,0.1806834762652
"PEAKAREAS_PC33","9","UNK",3,69,0.079246553700679,1.85465156921812,-0.080928853726443,0.023158203319261,1.91278260466122,-5.20274458099258,4.83758230215536,10.0403268831479,0.195287614912031,0.295231509500394,0.223273811337184
"PEAKAREAS_PC41","10","NonOil",4,83,-0.458191714419049,2.51518407432716,-0.036571233920808,-0.162561741249427,1.4149228119613,-11.3980415076069,4.00725958372265,15.4053010913296,-1.73081301988673,4.57845242223268,0.276077318656375
"PEAKAREAS_PC42","11","Oil",4,134,0.199528955214808,1.77180410382699,0.371939702244739,0.323388622504257,1.09983184271047,-11.5578102328069,5.55882728631968,17.1166375191265,-2.24421586546361,13.6388487055237,0.153060562161161
"PEAKAREAS_PC43","12","UNK",4,69,0.163667134753576,1.83702670672125,0.405262900779533,0.323682166757575,0.9105456552346,-8.79526432195697,4.00577748316836,12.8010418051253,-2.52974864779614,10.3628558662193,0.221152027229978
"PEAKAREAS_PC51","13","NonOil",5,83,0.288300711195244,2.58446245265117,-0.051639747268671,0.224150724398233,1.28813623578667,-7.4929936132693,13.5764475201644,21.0694411334337,1.46217968475862,9.0194229193709,0.283681608586396
"PEAKAREAS_PC52","14","Oil",5,134,0.061036185130628,1.55213765112573,0.108195481348989,0.135580168937921,1.06690637664185,-8.12303698834165,4.31555622665506,12.4385932149967,-1.57254062723929,7.39656791695749,0.134084270896353
"PEAKAREAS_PC53","15","UNK",5,69,-0.465330548358106,1.55705104525332,-0.332081470165448,-0.429643375335211,0.947655608739844,-6.36505988148699,3.63199055707978,9.99705043856677,-0.80716830278888,4.12878221717518,0.187446918380909
"PEAKAREAS_PC61","16","NonOil",6,83,0.172114843237287,2.51831163299713,0.060179430038012,0.157930697864677,0.796677059889432,-12.5275773039015,12.0167309493896,24.5443082532912,-0.204805439053552,11.9685564189889,0.276420612819358
"PEAKAREAS_PC62","17","Oil",6,134,0.037333831744086,1.22954112476524,-0.01951498273897,0.034180300207,0.939705652733029,-6.35867767140465,3.3149918463146,9.67366951771925,-1.04157383556137,5.73563437382989,0.106216175563848
"PEAKAREAS_PC63","18","UNK",6,69,-0.279540078875396,1.48799465535498,-0.381324196214137,-0.384095144707868,0.58092548285561,-5.95512614355139,6.18240892355211,12.1375350671035,1.00741768524859,7.88438741944706,0.179133505971975
"PEAKAREAS_PC71","19","NonOil",7,83,0.339796829970992,2.17603104514396,0.220415892314945,0.163499898228732,1.10716003052978,-3.54194598134345,13.2515487402434,16.7934947215869,2.732686408365,13.7678108263457,0.238850437384819
"PEAKAREAS_PC72","20","Oil",7,134,-0.289693791522032,1.36265294697325,-0.169299709215079,-0.21747633050487,1.23624012609055,-4.90383995772519,4.33924914735844,9.24308910508363,-0.491018557490223,1.5741833911536,0.117715285591558
"PEAKAREAS_PC73","21","UNK",7,69,0.15385262574435,1.39410254262145,0.406845295395497,0.276340654184058,0.765728245816321,-4.66031624833611,3.80713209332882,8.46744834166493,-1.15245453586214,2.72978651675207,0.167830223882523
"PEAKAREAS_PC81","22","NonOil",8,83,-0.092125777094879,2.07514843614564,0.011629408797636,0.063032761728975,1.03468431136688,-11.6043410254452,4.44068639011174,16.045027415557,-2.09682733243984,10.2085900862996,0.22777713246229
"PEAKAREAS_PC82","23","Oil",8,134,-0.150596472505563,1.44358053569966,0.107856925117901,-0.010201714003786,0.937326407697565,-8.3424019743212,2.99890516432668,11.3413071386479,-1.75979534132302,7.15022769058708,0.124706364457476
"PEAKAREAS_PC83","24","UNK",8,69,0.403280678472761,1.33942527275561,0.354865810038991,0.361570366564862,1.01521480738017,-4.93396636171946,4.83118493879054,9.76515130051001,0.008467561137056,4.08211228041823,0.161247854105324
"PEAKAREAS_PC91","25","NonOil",9,83,-0.172693117285513,1.23947444410513,0.016496675286341,-0.070999646064545,0.981757144759924,-4.14552942680678,2.67620071595498,6.82173014276176,-0.831067051587611,1.08791795757404,0.136049995133332
"PEAKAREAS_PC92","26","Oil",9,134,0.170378490708917,1.72079553747343,0.171594922134918,0.211988350478237,1.05447555484687,-8.40414182581213,6.73126331356535,15.1354051393775,-1.25710043263452,9.51117412464301,0.14865409317046
"PEAKAREAS_PC93","27","UNK",9,69,-0.123147666960834,1.24436094683593,-0.315532681806884,-0.257782277682807,0.868706091885518,-2.18754897683975,5.59478547338218,7.78233445022193,1.74985550792601,5.18243210894586,0.149803454131459
"PEAKAREAS_PC101","28","NonOil",10,83,-0.182743673402553,1.49241740668123,-0.030707546293677,-0.21108097406943,1.1114940086257,-4.26517974085499,6.71738802285699,10.982567763712,0.853007696879341,4.66578615409132,0.163814092240098
"PEAKAREAS_PC102","29","Oil",10,134,-0.088874863887884,1.61974884936481,0.069579842328881,0.015516844336344,0.738639828500554,-9.32686706031899,7.2132789852805,16.5401460455995,-1.23818780560645,10.7703766345331,0.1399249888338
"PEAKAREAS_PC103","30","UNK",10,69,0.392419661643308,1.06904849022188,0.272509138922228,0.328128168283128,0.638245450066589,-1.96669370015055,5.33182290087341,7.29851660102396,1.45221334367956,5.60149961158191,0.128698314485415
"PeakAreas200_PC11","31","NonOil",11,83,0.758884681906894,4.28114905669628,-0.142157985797406,0.24181749984262,3.83667955148483,-5.09543466385272,15.0174878225887,20.1129224864414,1.26551146000218,1.70497169418156,0.469917158113828
"PeakAreas200_PC12","32","Oil",11,134,-0.061314906544082,3.28458436607741,-0.458253295363159,-0.409789297313659,2.66469706438773,-5.160936708238,12.4983945703503,17.6593312785883,1.19703573566463,2.02330332470065,0.283744872501244
"PeakAreas200_PC13","33","UNK",11,69,-0.793785958280655,3.55370419592146,-1.87879506987862,-1.26264213384688,2.21487672643754,-5.16545107241715,11.0188806041809,16.1843316765981,1.28026100232952,0.95970039353779,0.427815711240482
"PeakAreas200_PC21","34","NonOil",12,83,0.191553178828756,1.75397924511043,0.300439252126816,0.251604294442942,1.60635314268487,-4.26307449470469,5.54400146111148,9.80707595581617,-0.15293097205314,0.21663938119089,0.192524233876822
"PeakAreas200_PC22","35","Oil",12,134,-0.016841848457922,1.67111836264492,0.034416113738138,-0.033046095985166,1.77025525165788,-3.50299449058629,3.48897546592134,6.99196995650763,0.080013050961543,-0.666824357035579,0.144362638889817
"PeakAreas200_PC23","36","UNK",12,69,-0.197711683325002,1.55272380003484,-0.211635684654216,-0.184444655757121,1.25557968180013,-4.26380837821076,2.86731316719138,7.13112154540214,-0.004303214231432,-0.317101963779615,0.186925979273772
"PeakAreas200_PC31","37","NonOil",13,83,-0.203294270377024,1.77601475153617,-0.152783350678503,-0.124116734976002,0.996712455687288,-9.84018125354072,3.52591993116528,13.366101184706,-1.90640040437347,9.47080587569012,0.194942944933142
"PeakAreas200_PC32","38","Oil",13,134,0.084281537621567,1.12108143895588,-0.006495540468926,0.043533345042434,0.882928151797519,-2.25921539087502,4.38721534565924,6.64643073653427,0.927919445643653,2.82524650420537,0.09684668576193
"PeakAreas200_PC33","39","UNK",13,69,0.080865194202942,1.3483536077497,-0.034353375099247,0.038516860639837,0.762020869770821,-3.30145534435198,4.36483156616053,7.66628691051251,0.526274585370837,2.09068047288911,0.162322699330222
"PeakAreas200_PC41","40","NonOil",14,83,-0.133479261611446,1.43855818479021,-0.061864133839566,-0.081726960992245,1.21251170814943,-4.47907885458062,4.70207043156484,9.18114928614546,-0.337483690872427,2.06247655082255,0.15790227460561
"PeakAreas200_PC42","41","Oil",14,134,0.072276736873734,1.23589782663251,-0.009946758113387,-0.023188975979225,0.968899775804175,-2.21777198918988,5.02457508569875,7.24234707488863,1.22743782310094,3.05317801034102,0.106765310967245
"PeakAreas200_PC43","42","UNK",14,69,0.02019849235753,1.21651721078197,-0.020105571565938,-0.024960751530108,0.627566627074371,-3.89697529615086,5.41713471921,9.31411001536086,1.06614624842413,6.09728311494547,0.146451462213508
"PeakAreas200_PC51","43","NonOil",15,83,0.179747775770957,1.38637913940665,0.228789269359732,0.193416239194843,1.24989744711067,-4.09058065912169,3.32272656454418,7.41330722366587,-0.266532487752314,0.326370354607602,0.152174880302115
"PeakAreas200_PC52","44","Oil",15,134,-0.024527037018433,1.074964029696,0.042619871102643,0.013400729924348,0.983001225983214,-4.01098137062067,2.92722816024943,6.9382095308701,-0.459105526408469,1.02082038851258,0.092862748389008
"PeakAreas200_PC53","45","UNK",15,69,-0.168586122152453,1.01060949181895,-0.356534677404189,-0.208870989906931,0.971660408127268,-2.00749630626421,3.35847794252923,5.36597424879344,0.664094660822827,1.26581104586025,0.121663085809201
"PeakAreas200_PC61","46","NonOil",16,83,0.051545608242271,1.10153348320478,0.114765293123058,-0.009918605044485,0.973531156088737,-2.73851454286572,4.59450014838042,7.33301469124614,0.88639913489842,2.73024656278794,0.120909007637839
"PeakAreas200_PC62","47","Oil",16,134,-0.024244890221491,1.19740172536464,0.179395489984924,0.076841541182731,1.03682636709943,-6.69864692528862,2.38129575856748,9.0799426838561,-1.6202646115162,6.17720504958736,0.103439754327916
"PeakAreas200_PC63","48","UNK",16,69,-0.014919857890269,0.926626664585989,-0.176079668579929,-0.076653793149153,0.739006260726361,-1.63200512720475,2.8663423815139,4.49834750871866,0.712563868650795,0.462478623201298,0.111552741508205
"PeakAreas200_PC71","49","NonOil",17,83,-0.017858667494766,0.933390797855338,0.029438432119504,-0.018261724999074,0.795704799123512,-2.87181425845506,2.4628580092149,5.33467226766996,-0.089544465115646,0.608471182700149,0.102452950207778
"PeakAreas200_PC72","50","Oil",17,134,0.095061163758075,1.01231023161406,0.156348536839523,0.118020935790956,0.668492013267995,-5.4226385107337,3.27344176783561,8.6960802785693,-1.23382527497893,7.08588735259974,0.087450284598434
"PeakAreas200_PC73","51","UNK",17,69,-0.163129370166907,0.920152852472571,-0.023449136930515,-0.14576688703905,0.687546980189318,-3.97575539532323,2.40561424762026,6.3813696429435,-0.696919861066362,3.40196123731846,0.110773386114214
"PeakAreas200_PC81","52","NonOil",18,83,-0.096268506679413,0.93590941681916,-0.011936756323419,-0.046507589464988,0.76143512511427,-4.63606184555694,2.55987056270714,7.19593240826409,-1.23682392730119,5.88008946743109,0.102729404554538
"PeakAreas200_PC82","53","Oil",18,134,0.042710175747551,0.897550433486266,0.009310397374808,0.034692610678022,0.742646657805245,-2.92320756705452,3.43492634447,6.35813391152452,0.327002998831288,2.57910456345228,0.077536547985565
"PeakAreas200_PC83","54","UNK",18,69,0.032856847887229,0.965958864932225,-0.030033152382847,-0.011440875878328,0.798655542157431,-1.82208933386722,3.06564441196985,4.88773374583707,0.583684683793257,0.706170782119289,0.116287782000627
"PeakAreas200_PC91","55","NonOil",19,83,0.114354490738667,0.964822965344726,0.150490692291206,0.108333053625579,0.839259182104244,-3.75353978979333,2.52510763694886,6.2786474267422,-0.386152751928317,2.18845907255797,0.105903078812123
"PeakAreas200_PC92","56","Oil",19,134,-0.025937593957531,0.969808629386522,-0.112162108784198,-0.034635663664273,0.784151469546327,-3.66669279618935,3.12450881105143,6.79120160724078,-0.050089034985233,2.05542423206085,0.083778705378335
"PeakAreas200_PC93","57","UNK",19,69,-0.087185291898551,0.648228382280141,0.007056092678908,-0.039065708600883,0.475293544280631,-2.20883419881403,1.2097321615245,3.41856636033853,-0.964001566858498,1.67638833728062,0.078037526795203
"PeakAreas200_PC101","58","NonOil",20,83,0.148331770292771,0.807771006178428,0.146768301889084,0.134187289498081,0.626912741925469,-2.43100432282794,3.17296657157855,5.60397089440649,0.481253150779829,2.76533104686573,0.088664386734303
"PeakAreas200_PC102","59","Oil",20,134,0.024243263014362,0.815153066013785,0.042957862347833,0.041248042461826,0.60193922410286,-3.22418958798089,3.06711136062651,6.2913009486074,-0.217858616128504,2.52497606121068,0.070418499574515
"PeakAreas200_PC103","60","UNK",20,69,-0.225509190988754,0.856335705642929,-0.240628714316247,-0.181414476749697,0.679565745666285,-4.02430950489197,2.08979038617051,6.11409989106249,-1.16085396003123,5.07307636509369,0.103090704451628
"RelativeRatios_PC11","61","NonOil",21,83,-1.01748328074319,5.12098616062929,0.273181324760621,-0.282982142922636,3.8739258362361,-18.2268935790655,5.48213781776384,23.7090313968293,-1.36860771307864,1.5361361180338,0.562101256338919
"RelativeRatios_PC12","62","Oil",21,134,0.093705937599902,4.16838981025263,1.29098218931569,0.694881587449603,2.88413454481702,-17.0645993403209,5.53335616677278,22.5979555070937,-1.79793431640061,4.17049590786566,0.360094034259233
"RelativeRatios_PC13","63","UNK",21,69,1.04194951685939,4.28718864131663,2.6664682051376,1.70833733575949,1.99486327812795,-12.2891906401115,5.57101602147265,17.8602066615841,-1.50587126126047,1.26630034882132,0.516116861924522
"RelativeRatios_PC21","64","NonOil",22,83,-0.055203227533838,3.11219862977516,-0.307756313150831,-0.122084418923239,2.68188936012454,-7.70224558680887,8.37125143281904,16.0734970196279,0.201176534105201,0.145511715866562,0.341608179538199
"RelativeRatios_PC22","65","Oil",22,134,-0.066017775380118,2.93243056196665,0.045955343757382,0.040542241170605,2.65639217224873,-7.22758081211518,6.47194784784726,13.6995286599624,-0.284326692586158,-0.229300000739462,0.253323417269279
"RelativeRatios_PC23","66","UNK",22,69,0.194612315742672,2.33333715562978,0.315566941081664,0.203373190249253,2.18461835113337,-6.25215984045514,7.19608591043974,13.4482457508949,0.036982895236578,0.391034012568035,0.280900784017213
"RelativeRatios_PC31","67","NonOil",23,83,0.132688965558657,2.99636127781424,-0.695228519387247,-0.319140431465492,1.75873047500868,-3.61792066940798,12.4167163890275,16.0346370584355,1.74270185653377,3.52615450371068,0.328893378321043
"RelativeRatios_PC32","68","Oil",23,134,-0.122994002587426,2.09156245227512,-0.509768155828604,-0.239978926293779,2.12086234237955,-6.3982407206927,6.83740873639665,13.2356494570894,0.438545169128346,0.321900989225744,0.180683476265199
"RelativeRatios_PC33","69","UNK",23,69,0.079246553700677,1.85465156921812,-0.080928853726448,0.023158203319259,1.91278260466121,-5.20274458099258,4.83758230215532,10.0403268831479,0.19528761491203,0.295231509500382,0.223273811337184
"RelativeRatios_PC41","70","NonOil",24,83,-0.458191714419047,2.51518407432716,-0.036571233920787,-0.162561741249425,1.41492281196134,-11.3980415076067,4.00725958372267,15.4053010913294,-1.7308130198867,4.57845242223246,0.276077318656374
"RelativeRatios_PC42","71","Oil",24,134,0.199528955214808,1.77180410382699,0.371939702244738,0.323388622504258,1.09983184271047,-11.5578102328069,5.55882728631959,17.1166375191265,-2.24421586546365,13.6388487055239,0.153060562161162
"RelativeRatios_PC43","72","UNK",24,69,0.163667134753574,1.83702670672126,0.405262900779537,0.323682166757576,0.910545655234594,-8.79526432195708,4.00577748316837,12.8010418051255,-2.52974864779618,10.3628558662195,0.22115202722998
"RelativeRatios_PC51","73","NonOil",25,83,0.288300711195246,2.58446245265117,-0.051639747268661,0.224150724398233,1.28813623578664,-7.49299361326929,13.5764475201644,21.0694411334337,1.46217968475861,9.01942291937084,0.283681608586396
"RelativeRatios_PC52","74","Oil",25,134,0.061036185130628,1.55213765112573,0.108195481348977,0.13558016893792,1.06690637664185,-8.12303698834171,4.31555622665506,12.4385932149968,-1.5725406272393,7.3965679169576,0.134084270896353
"RelativeRatios_PC53","75","UNK",25,69,-0.465330548358109,1.55705104525331,-0.332081470165454,-0.429643375335218,0.94765560873987,-6.36505988148697,3.63199055707979,9.99705043856676,-0.807168302788833,4.12878221717512,0.187446918380908
"RelativeRatios_PC61","76","NonOil",26,83,0.172114843237284,2.51831163299713,0.060179430038028,0.157930697864674,0.796677059889416,-12.5275773039016,12.0167309493897,24.5443082532913,-0.204805439053558,11.9685564189891,0.276420612819359
"RelativeRatios_PC62","77","Oil",26,134,0.037333831744086,1.22954112476524,-0.019514982738977,0.034180300207001,0.939705652733007,-6.35867767140464,3.31499184631455,9.6736695177192,-1.04157383556138,5.7356343738299,0.106216175563848
"RelativeRatios_PC63","78","UNK",26,69,-0.279540078875394,1.48799465535498,-0.38132419621413,-0.384095144707865,0.580925482855603,-5.95512614355142,6.18240892355215,12.1375350671036,1.00741768524859,7.88438741944715,0.179133505971975
"RelativeRatios_PC71","79","NonOil",27,83,0.339796829970994,2.17603104514395,0.220415892314967,0.163499898228735,1.10716003052983,-3.54194598134343,13.2515487402432,16.7934947215867,2.73268640836494,13.7678108263452,0.238850437384818
"RelativeRatios_PC72","80","Oil",27,134,-0.289693791522033,1.36265294697325,-0.169299709215069,-0.217476330504872,1.23624012609054,-4.90383995772516,4.33924914735847,9.24308910508363,-0.49101855749022,1.57418339115364,0.117715285591559
"RelativeRatios_PC73","81","UNK",27,69,0.153852625744349,1.39410254262145,0.406845295395498,0.276340654184058,0.765728245816327,-4.66031624833618,3.80713209332885,8.46744834166503,-1.15245453586216,2.72978651675215,0.167830223882523
"RelativeRatios_PC81","82","NonOil",28,83,-0.092125777094883,2.07514843614565,0.011629408797638,0.063032761728973,1.03468431136688,-11.6043410254453,4.44068639011172,16.045027415557,-2.09682733243985,10.2085900862996,0.22777713246229
"RelativeRatios_PC82","83","Oil",28,134,-0.150596472505561,1.44358053569966,0.1078569251179,-0.010201714003786,0.937326407697568,-8.34240197432111,2.99890516432674,11.3413071386478,-1.75979534132297,7.15022769058682,0.124706364457476
"RelativeRatios_PC83","84","UNK",28,69,0.403280678472763,1.33942527275562,0.354865810039006,0.361570366564861,1.01521480738014,-4.93396636171943,4.8311849387906,9.76515130051003,0.008467561137099,4.08211228041819,0.161247854105324
"RelativeRatios_PC91","85","NonOil",29,83,-0.172693117285506,1.23947444410514,0.01649667528644,-0.070999646064537,0.98175714475981,-4.14552942680668,2.67620071595499,6.82173014276167,-0.831067051587603,1.08791795757398,0.136049995133333
"RelativeRatios_PC92","86","Oil",29,134,0.17037849070892,1.72079553747342,0.171594922134922,0.211988350478239,1.05447555484685,-8.40414182581197,6.73126331356544,15.1354051393774,-1.25710043263448,9.51117412464282,0.14865409317046
"RelativeRatios_PC93","87","UNK",29,69,-0.123147666960846,1.24436094683593,-0.315532681806885,-0.25778227768282,0.868706091885509,-2.18754897683974,5.59478547338223,7.78233445022198,1.74985550792605,5.18243210894613,0.149803454131459
"RelativeRatios_PC101","88","NonOil",30,83,-0.182743673402558,1.49241740668123,-0.030707546293702,-0.211080974069438,1.11149400862565,-4.26517974085496,6.71738802285689,10.9825677637119,0.853007696879312,4.665786154091,0.163814092240098
"RelativeRatios_PC102","89","Oil",30,134,-0.088874863887879,1.61974884936481,0.069579842328894,0.015516844336353,0.738639828500537,-9.32686706031915,7.21327898528029,16.5401460455994,-1.23818780560659,10.7703766345334,0.1399249888338
"RelativeRatios_PC103","90","UNK",30,69,0.392419661643307,1.06904849022188,0.272509138922265,0.328128168283121,0.638245450066545,-1.9666937001505,5.33182290087347,7.29851660102396,1.45221334367965,5.60149961158216,0.128698314485415
"RelativeRatios200_PC11","91","NonOil",31,83,0.758884681906894,4.28114905669628,-0.142157985797407,0.241817499842619,3.83667955148483,-5.09543466385272,15.0174878225887,20.1129224864414,1.26551146000218,1.70497169418156,0.469917158113828
"RelativeRatios200_PC12","92","Oil",31,134,-0.061314906544083,3.28458436607741,-0.45825329536316,-0.409789297313659,2.66469706438772,-5.160936708238,12.4983945703503,17.6593312785883,1.19703573566463,2.02330332470065,0.283744872501244
"RelativeRatios200_PC13","93","UNK",31,69,-0.793785958280656,3.55370419592146,-1.87879506987862,-1.26264213384688,2.21487672643755,-5.16545107241715,11.0188806041809,16.1843316765981,1.28026100232952,0.95970039353779,0.427815711240482
"RelativeRatios200_PC21","94","NonOil",32,83,0.191553178828755,1.75397924511043,0.300439252126812,0.251604294442941,1.60635314268488,-4.26307449470469,5.54400146111149,9.80707595581618,-0.152930972053139,0.216639381190892,0.192524233876822
"RelativeRatios200_PC22","95","Oil",32,134,-0.016841848457923,1.67111836264492,0.034416113738137,-0.033046095985168,1.77025525165788,-3.5029944905863,3.48897546592134,6.99196995650764,0.080013050961544,-0.666824357035581,0.144362638889817
"RelativeRatios200_PC23","96","UNK",32,69,-0.197711683325003,1.55272380003484,-0.211635684654215,-0.184444655757122,1.25557968180013,-4.26380837821076,2.86731316719138,7.13112154540214,-0.004303214231431,-0.317101963779616,0.186925979273772
"RelativeRatios200_PC31","97","NonOil",33,83,-0.203294270377025,1.77601475153617,-0.152783350678508,-0.124116734976004,0.996712455687294,-9.84018125354073,3.52591993116528,13.366101184706,-1.90640040437348,9.47080587569016,0.194942944933142
"RelativeRatios200_PC32","98","Oil",33,134,0.084281537621567,1.12108143895588,-0.006495540468926,0.043533345042433,0.882928151797521,-2.25921539087501,4.38721534565924,6.64643073653425,0.927919445643656,2.82524650420538,0.09684668576193
"RelativeRatios200_PC33","99","UNK",33,69,0.080865194202942,1.3483536077497,-0.034353375099247,0.038516860639836,0.762020869770816,-3.30145534435198,4.36483156616054,7.66628691051253,0.526274585370842,2.09068047288911,0.162322699330222
"RelativeRatios200_PC41","100","NonOil",34,83,-0.133479261611445,1.43855818479021,-0.061864133839566,-0.081726960992243,1.21251170814944,-4.47907885458062,4.70207043156484,9.18114928614546,-0.337483690872428,2.06247655082254,0.15790227460561
"RelativeRatios200_PC42","101","Oil",34,134,0.072276736873733,1.23589782663251,-0.009946758113388,-0.023188975979225,0.968899775804174,-2.21777198918988,5.02457508569872,7.2423470748886,1.22743782310093,3.05317801034096,0.106765310967245
"RelativeRatios200_PC43","102","UNK",34,69,0.02019849235753,1.21651721078197,-0.020105571565941,-0.024960751530108,0.627566627074362,-3.89697529615085,5.41713471921,9.31411001536085,1.06614624842413,6.09728311494547,0.146451462213508
"RelativeRatios200_PC51","103","NonOil",35,83,0.179747775770957,1.38637913940665,0.228789269359738,0.193416239194843,1.24989744711067,-4.09058065912168,3.32272656454417,7.41330722366585,-0.266532487752318,0.326370354607594,0.152174880302115
"RelativeRatios200_PC52","104","Oil",35,134,-0.024527037018433,1.07496402969601,0.042619871102655,0.013400729924349,0.983001225983167,-4.01098137062067,2.92722816024942,6.93820953087008,-0.459105526408479,1.02082038851257,0.092862748389008
"RelativeRatios200_PC53","105","UNK",35,69,-0.168586122152454,1.01060949181895,-0.356534677404168,-0.208870989906931,0.971660408127276,-2.00749630626421,3.35847794252921,5.36597424879343,0.664094660822815,1.26581104586022,0.1216630858092
"RelativeRatios200_PC61","106","NonOil",36,83,0.051545608242271,1.10153348320479,0.114765293123085,-0.009918605044484,0.973531156088703,-2.73851454286571,4.59450014838041,7.33301469124612,0.886399134898407,2.73024656278789,0.120909007637839
"RelativeRatios200_PC62","107","Oil",36,134,-0.024244890221491,1.19740172536464,0.179395489984933,0.076841541182731,1.03682636709942,-6.69864692528862,2.38129575856746,9.07994268385608,-1.6202646115162,6.17720504958741,0.103439754327915
"RelativeRatios200_PC63","108","UNK",36,69,-0.014919857890267,0.926626664585989,-0.17607966857993,-0.076653793149152,0.739006260726368,-1.63200512720475,2.8663423815139,4.49834750871865,0.712563868650791,0.462478623201287,0.111552741508205
"RelativeRatios200_PC71","109","NonOil",37,83,-0.017858667494767,0.933390797855337,0.029438432119503,-0.018261724999075,0.795704799123508,-2.87181425845508,2.46285800921489,5.33467226766997,-0.089544465115652,0.608471182700177,0.102452950207778
"RelativeRatios200_PC72","110","Oil",37,134,0.095061163758074,1.01231023161406,0.156348536839525,0.118020935790955,0.668492013268001,-5.42263851073371,3.2734417678356,8.69608027856931,-1.23382527497894,7.08588735259979,0.087450284598434
"RelativeRatios200_PC73","111","UNK",37,69,-0.163129370166904,0.920152852472571,-0.023449136930515,-0.145766887039048,0.687546980189325,-3.97575539532323,2.40561424762028,6.38136964294351,-0.696919861066358,3.40196123731846,0.110773386114214
"RelativeRatios200_PC81","112","NonOil",38,83,-0.096268506679408,0.935909416819156,-0.011936756323444,-0.046507589464982,0.761435125114205,-4.63606184555691,2.55987056270713,7.19593240826404,-1.23682392730121,5.88008946743108,0.102729404554537
"RelativeRatios200_PC82","113","Oil",38,134,0.042710175747553,0.897550433486269,0.009310397374811,0.034692610678026,0.742646657805232,-2.9232075670545,3.43492634447005,6.35813391152454,0.327002998831272,2.57910456345227,0.077536547985565
"RelativeRatios200_PC83","114","UNK",38,69,0.032856847887228,0.965958864932225,-0.030033152382818,-0.011440875878328,0.79865554215746,-1.82208933386726,3.06564441196984,4.8877337458371,0.583684683793241,0.706170782119289,0.116287782000627
"RelativeRatios200_PC91","115","NonOil",39,83,0.114354490738668,0.964822965344731,0.150490692291221,0.108333053625577,0.839259182104218,-3.75353978979329,2.52510763694885,6.27864742674214,-0.386152751928284,2.18845907255778,0.105903078812123
"RelativeRatios200_PC92","116","Oil",39,134,-0.025937593957533,0.96980862938652,-0.112162108784206,-0.034635663664274,0.784151469546272,-3.66669279618929,3.12450881105141,6.7912016072407,-0.05008903498524,2.05542423206079,0.083778705378335
"RelativeRatios200_PC93","117","UNK",39,69,-0.087185291898553,0.648228382280141,0.007056092678921,-0.039065708600883,0.47529354428062,-2.20883419881406,1.20973216152444,3.4185663603385,-0.964001566858555,1.67638833728079,0.078037526795203
"RelativeRatios200_PC101","118","NonOil",40,83,0.14833177029277,0.80777100617843,0.146768301889093,0.13418728949808,0.626912741925459,-2.43100432282796,3.17296657157853,5.6039708944065,0.481253150779822,2.76533104686573,0.088664386734303
"RelativeRatios200_PC102","119","Oil",40,134,0.024243263014359,0.815153066013786,0.042957862347834,0.041248042461823,0.601939224102863,-3.2241895879809,3.06711136062652,6.29130094860742,-0.217858616128499,2.52497606121071,0.070418499574515
"RelativeRatios200_PC103","120","UNK",40,69,-0.225509190988756,0.856335705642927,-0.240628714316246,-0.181414476749699,0.679565745666276,-4.02430950489197,2.08979038617051,6.11409989106248,-1.16085396003123,5.07307636509369,0.103090704451628
